"srs_pcv.failure","srs_bacto.fails.risk.factor","srs_icc","srs_tcc","srs_sample.month","wtw_manganese.removal","wtw_phosphate.dosing","srs_total.risk.factor","srs_fails_in_any_previous_year","srs_aow","srs_free.chlorine","srs_fails_in_previous_year","srs_ooa","srs_total.chlorine","srs_stor_vol","wtw_hypo"
0,1,283,403,9,0,1,39,0,3.316902631,0.520493329,0,3,0.570493329,2.310493329,1
0,1,207,647,9,0,1,39,0,3.321881695,0.395472393,0,3,0.545472393,2.315472393,1
0,1,3200,4400,10,0,1,39,0,3.291729029,0.575319727,0,3,0.665319727,2.285319727,1
0,1,78,238,10,0,1,39,0,3.283435316,0.577026015,0,3,0.667026015,2.277026015,1
0,1,1,81,11,0,1,39,0,3.355677708,0.649268406,0,3,0.699268406,2.349268406,1
0,1,116,116,11,0,1,39,0,3.319758628,0.613349326,0,3,0.643349326,2.313349326,1
0,1,38,78,12,0,1,39,0,3.277730115,0.591320814,0,3,0.641320814,2.271320814,1
0,1,41,121,12,0,1,39,0,3.269346537,0.552937235,0,3,0.632937235,2.262937235,1
0,1,9,89,1,0,1,39,0,3.304221105,0.607811803,0,3,0.687811803,2.297811803,1
0,1,37,277,1,0,1,39,0,3.348816749,0.702407447,0,3,0.742407447,2.342407447,1
0,1,80,280,1,0,1,39,0,3.316285399,0.609876097,0,3,0.699876097,2.309876097,1
0,1,88,128,2,0,1,39,0,3.354026371,0.677617069,0,3,0.757617069,2.347617069,1
0,1,35,155,3,0,1,39,0,3.329588553,0.673179251,0,3,0.723179251,2.323179251,1
0,1,125,125,3,0,1,39,0,3.292081993,0.485672691,0,3,0.545672691,2.285672691,1
0,1,165,365,3,0,1,39,0,3.299556671,0.613147369,0,3,0.673147369,2.293147369,1
0,1,1159,479,4,0,1,39,0,3.271230458,0.574821156,0,3,0.604821156,2.264821156,1
0,1,208,448,5,0,1,39,0,3.257717059,0.561307758,0,3,0.661307758,2.251307758,1
0,1,38,278,5,0,1,39,0,3.327965908,0.561556607,0,3,0.601556607,2.321556607,1
0,1,84,1004,5,0,1,39,0,3.266727725,0.420318424,0,3,0.460318424,2.260318424,1
0,1,1440,1600,6,0,1,39,0,3.301037737,0.434628435,0,3,0.474628435,2.294628435,1
0,1,716,2596,6,0,1,39,0,3.320419406,0.594010105,0,3,0.664010105,2.314010105,1
0,1,170,390,2,0,1,49.25,0,5.915014261,0.719183862,0,2,0.819183862,4.599183862,0
0,1,5999,7939,1,0,1,49.25,0,5.865389757,0.499559358,0,2,0.639559358,4.549559358,1
0,1,1228,2408,5,0,1,49.25,0,5.864265351,0.668434952,0,2,0.698434952,4.548434952,1
0,1,56763,97883,9,0,1,49.25,0,5.833174632,0.047344233,0,2,0.057344233,4.517344233,1
0,1,10999,7399,11,0,1,49.25,0,5.891312493,0.395482094,0,2,0.515482094,4.575482094,1
0,1,2605,5285,12,0,1,49.25,0,5.861219948,0.385389549,0,2,0.475389549,4.545389549,1
0,1,363,883,12,0,1,49.25,0,5.866947377,0.501116978,0,2,0.611116978,4.551116978,1
0,1,201,521,1,0,1,49.25,0,5.83658491,0.480754511,0,2,0.680754511,4.520754511,1
0,1,752,1392,1,0,1,49.25,0,5.838696213,0.722865814,0,2,0.762865814,4.522865814,1
0,1,406,486,2,0,1,49.25,0,5.875401598,0.6195712,0,2,0.7995712,4.5595712,1
0,1,79,199,2,0,1,49.25,0,5.873317619,0.60748722,0,2,0.66748722,4.55748722,1
